question,option_a,option_b,option_c,option_d,correct_answer,marks,negative_marks,category,explanation
What is the primary purpose of a stop-loss order in trading?,To maximize profits,To limit potential losses on a position,To guarantee entry into a trade,To increase trading volume,b,1,0.25,Risk Management,A stop-loss order automatically sells a security when it reaches a certain price to limit downside risk.
Which technical indicator is used to measure market volatility?,Moving Average,RSI (Relative Strength Index),Bollinger Bands,MACD,c,1,0.25,Technical Analysis,Bollinger Bands consist of a middle band and two outer bands that expand and contract based on market volatility.
What does P/E ratio stand for in stock market analysis?,Profit to Equity ratio,Price to Earnings ratio,Performance to Expectation ratio,Portfolio to Exchange ratio,b,1,0.25,Fundamental Analysis,The Price-to-Earnings ratio is a valuation metric that compares a company's share price to its earnings per share.
In options trading what is a 'call' option?,The right to sell an asset at a specified price,The right to buy an asset at a specified price,An obligation to buy an asset,A requirement to close a position,b,1,0.25,Derivatives,A call option gives the holder the right but not the obligation to buy the underlying asset at a specified strike price.
What is the NSE benchmark index called?,SENSEX,NIFTY 50,BSE 500,NIFTY BANK,b,1,0,Indian Markets,NIFTY 50 is the benchmark index of the National Stock Exchange of India comprising 50 large-cap stocks.
What does SEBI stand for?,Stock Exchange Board of India,Securities and Exchange Board of India,Securities and Equity Board of India,Stock and Equity Bureau of India,b,1,0.25,Regulations,SEBI is the regulatory body for securities and commodity markets in India.
Which of the following is a leading indicator?,GDP Growth Rate,Consumer Confidence Index,Unemployment Rate,Corporate Earnings,b,1,0.25,Economic Indicators,Consumer Confidence Index is a leading indicator as it predicts future economic activity based on consumer sentiment.
What is the formula for calculating Return on Equity (ROE)?,Net Income / Total Assets,Net Income / Shareholders Equity,Gross Profit / Revenue,Operating Income / Total Debt,b,1,0.25,Fundamental Analysis,ROE measures a company's profitability relative to shareholders equity showing how efficiently equity capital is used.
What is a 'bull market'?,A market experiencing prolonged price declines,A market experiencing prolonged price increases,A market with high volatility,A market with low trading volume,b,1,0,Market Concepts,A bull market refers to a financial market where prices are rising or are expected to rise over a sustained period.
Which chart pattern signals a potential trend reversal from bearish to bullish?,Head and Shoulders,Double Top,Inverse Head and Shoulders,Descending Triangle,c,1,0.25,Technical Analysis,An Inverse Head and Shoulders pattern forms after a downtrend and signals a potential reversal to the upside.
What is the purpose of diversification in a portfolio?,To maximize returns from a single stock,To reduce overall risk by spreading investments,To increase trading frequency,To concentrate investments in one sector,b,1,0.25,Portfolio Management,Diversification reduces unsystematic risk by allocating investments across different financial instruments and sectors.
What is a candlestick 'Doji' pattern?,A candle with a very long body,A candle where open and close prices are nearly equal,A candle with no wicks,A series of three consecutive green candles,b,1,0.25,Technical Analysis,A Doji forms when the opening and closing prices are virtually equal indicating indecision in the market.
What is the full form of IPO?,Initial Public Offering,International Portfolio Organization,Indian Public Option,Institutional Price Order,a,1,0,Market Concepts,An IPO is the process by which a private company offers shares to the public for the first time on a stock exchange.
Which of the following is NOT a type of mutual fund?,Equity Fund,Debt Fund,Hybrid Fund,Leverage Fund,d,1,0.25,Investment Products,Leverage Fund is not a standard mutual fund category. The main types are Equity Debt and Hybrid funds.
What does SIP stand for in the context of mutual funds?,Systematic Investment Plan,Standard Investment Protocol,Stock Investment Program,Scheduled Income Plan,a,1,0,Investment Products,SIP allows investors to invest a fixed amount regularly in a mutual fund scheme promoting disciplined investing.
What is the role of a market maker?,To regulate the stock exchange,To provide liquidity by quoting buy and sell prices,To audit listed companies,To manage investor grievances,b,1,0.25,Market Concepts,Market makers provide liquidity by continuously quoting both buy and sell prices for securities.
What is margin trading?,Trading without any capital,Trading with borrowed funds from a broker,Trading only in derivatives,Trading in foreign currency,b,1,0.25,Trading Concepts,Margin trading involves borrowing money from a broker to purchase securities allowing traders to buy more than they could with their own capital.
Which ratio measures a company's ability to pay short-term obligations?,Debt-to-Equity Ratio,Current Ratio,Price-to-Book Ratio,Dividend Yield,b,1,0.25,Fundamental Analysis,The Current Ratio divides current assets by current liabilities to measure short-term liquidity.
What is the difference between a limit order and a market order?,There is no difference,A limit order executes at a specified price while a market order executes at the current market price,A market order has a price limit,A limit order is only for options trading,b,1,0.25,Trading Concepts,A market order executes immediately at the best available price while a limit order only executes at the specified price or better.
What is the 52-week high/low indicator used for?,Calculating dividends,Gauging a stock's price range over the past year,Predicting next quarter earnings,Measuring company debt levels,b,1,0,Technical Analysis,The 52-week high/low shows the highest and lowest prices at which a stock has traded during the previous 52 weeks.
